,cv_name,validation_score,train_size,dim,noise_corr,sep,score_error,score_sem
0,loo,0.716,100.0,300.0,0.0,5.0,0.094,0.0392300904919
1,100 splits,0.716,100.0,300.0,0.0,5.0,0.0635,0.00537575576082
0,loo,0.7187,100.0,300.0,0.0,5.0,0.0513,0.042083250825
1,100 splits,0.7187,100.0,300.0,0.0,5.0,0.02955,0.00738560677941
0,loo,0.6997,100.0,300.0,0.0,5.0,-0.0297,0.047021271782
1,100 splits,0.6997,100.0,300.0,0.0,5.0,-0.05095,0.0059206999164
0,loo,0.718,100.0,300.0,0.0,5.0,0.042,0.0427083130081
1,100 splits,0.718,100.0,300.0,0.0,5.0,0.0195,0.00596604978189
0,loo,0.7008,100.0,300.0,0.0,5.0,-0.0208,0.0466476151588
1,100 splits,0.7008,100.0,300.0,0.0,5.0,-0.0643,0.00616147303816
0,loo,0.7068,100.0,300.0,0.0,5.0,0.0432,0.0433012701892
1,100 splits,0.7068,100.0,300.0,0.0,5.0,0.03945,0.00602014846162
0,loo,0.7146,100.0,300.0,0.0,5.0,0.0254,0.0438634243989
1,100 splits,0.7146,100.0,300.0,0.0,5.0,0.01565,0.00561134453585
0,loo,0.7159,100.0,300.0,0.0,5.0,-0.0659,0.0476969600708
1,100 splits,0.7159,100.0,300.0,0.0,5.0,-0.0464,0.00775233835691
0,loo,0.7014,100.0,300.0,0.0,5.0,0.0586,0.0427083130081
1,100 splits,0.7014,100.0,300.0,0.0,5.0,0.03135,0.00747159203249
0,loo,0.6956,100.0,300.0,0.0,5.0,0.0244,0.0448998886413
1,100 splits,0.6956,100.0,300.0,0.0,5.0,0.0569,0.00461992965314
0,loo,0.702,100.0,300.0,0.0,5.0,-0.062,0.048
1,100 splits,0.702,100.0,300.0,0.0,5.0,-0.0485,0.00644699542423
0,loo,0.7029,100.0,300.0,0.0,5.0,0.0271,0.0443959457608
1,100 splits,0.7029,100.0,300.0,0.0,5.0,0.0331,0.0058540584213
0,loo,0.6757,100.0,300.0,0.0,5.0,-0.0057,0.047021271782
1,100 splits,0.6757,100.0,300.0,0.0,5.0,-0.03295,0.00664640410297
0,loo,0.7161,100.0,300.0,0.0,5.0,-0.0161,0.0458257569496
1,100 splits,0.7161,100.0,300.0,0.0,5.0,-0.0066,0.00623889012566
0,loo,0.7061,100.0,300.0,0.0,5.0,0.1239,0.037563279942
1,100 splits,0.7061,100.0,300.0,0.0,5.0,0.06115,0.00556324433222
0,loo,0.7027,100.0,300.0,0.0,5.0,-0.0527,0.0476969600708
1,100 splits,0.7027,100.0,300.0,0.0,5.0,-0.0552,0.00761372116642
0,loo,0.7117,100.0,300.0,0.0,5.0,-0.0917,0.048538644398
1,100 splits,0.7117,100.0,300.0,0.0,5.0,-0.06895,0.00614814504546
0,loo,0.7203,100.0,300.0,0.0,5.0,-0.0803,0.048
1,100 splits,0.7203,100.0,300.0,0.0,5.0,-0.03705,0.00551449793726
0,loo,0.7061,100.0,300.0,0.0,5.0,-0.0461,0.0473708771293
1,100 splits,0.7061,100.0,300.0,0.0,5.0,-0.02585,0.00723617215799
0,loo,0.7105,100.0,300.0,0.0,5.0,0.0995,0.0392300904919
1,100 splits,0.7105,100.0,300.0,0.0,5.0,0.0195,0.00668019460794
0,loo,0.6823,100.0,300.0,0.0,5.0,-0.0323,0.0476969600708
1,100 splits,0.6823,100.0,300.0,0.0,5.0,0.0032,0.00557438337397
0,loo,0.714,100.0,300.0,0.0,5.0,-0.004,0.0453762052182
1,100 splits,0.714,100.0,300.0,0.0,5.0,-0.0455,0.00718774999565
0,loo,0.7238,100.0,300.0,0.0,5.0,-0.1638,0.049638694584
1,100 splits,0.7238,100.0,300.0,0.0,5.0,-0.1203,0.00598445903988
0,loo,0.7281,100.0,300.0,0.0,5.0,0.0219,0.0433012701892
1,100 splits,0.7281,100.0,300.0,0.0,5.0,0.0159,0.00676904720031
0,loo,0.7174,100.0,300.0,0.0,5.0,0.0426,0.0427083130081
1,100 splits,0.7174,100.0,300.0,0.0,5.0,-0.01365,0.00613328521267
