,cv_name,validation_score,train_size,dim,noise_corr,sep,score_error,score_sem
0,loo,0.716,100.0,300.0,0.0,5.0,0.094,0.0392300904919
1,50 splits,0.716,100.0,300.0,0.0,5.0,0.055,0.0100089959536
0,loo,0.7187,100.0,300.0,0.0,5.0,0.0513,0.042083250825
1,50 splits,0.7187,100.0,300.0,0.0,5.0,0.0233,0.0163315645301
0,loo,0.6997,100.0,300.0,0.0,5.0,-0.0297,0.047021271782
1,50 splits,0.6997,100.0,300.0,0.0,5.0,-0.0557,0.011969962406
0,loo,0.718,100.0,300.0,0.0,5.0,0.042,0.0427083130081
1,50 splits,0.718,100.0,300.0,0.0,5.0,0.024,0.0108958707775
0,loo,0.7008,100.0,300.0,0.0,5.0,-0.0208,0.0466476151588
1,50 splits,0.7008,100.0,300.0,0.0,5.0,-0.0648,0.0116653332571
0,loo,0.7068,100.0,300.0,0.0,5.0,0.0432,0.0433012701892
1,50 splits,0.7068,100.0,300.0,0.0,5.0,0.0222,0.0134231143927
0,loo,0.7146,100.0,300.0,0.0,5.0,0.0254,0.0438634243989
1,50 splits,0.7146,100.0,300.0,0.0,5.0,0.0194,0.0104345579686
0,loo,0.7159,100.0,300.0,0.0,5.0,-0.0659,0.0476969600708
1,50 splits,0.7159,100.0,300.0,0.0,5.0,-0.0619,0.0154816019843
0,loo,0.7014,100.0,300.0,0.0,5.0,0.0586,0.0427083130081
1,50 splits,0.7014,100.0,300.0,0.0,5.0,0.0366,0.013824615727
0,loo,0.6956,100.0,300.0,0.0,5.0,0.0244,0.0448998886413
1,50 splits,0.6956,100.0,300.0,0.0,5.0,0.0574,0.00910054943396
0,loo,0.702,100.0,300.0,0.0,5.0,-0.062,0.048
1,50 splits,0.702,100.0,300.0,0.0,5.0,-0.046,0.012856126944
0,loo,0.7029,100.0,300.0,0.0,5.0,0.0271,0.0443959457608
1,50 splits,0.7029,100.0,300.0,0.0,5.0,0.0381,0.011805930713
0,loo,0.6757,100.0,300.0,0.0,5.0,-0.0057,0.047021271782
1,50 splits,0.6757,100.0,300.0,0.0,5.0,-0.0217,0.01398856676
0,loo,0.7161,100.0,300.0,0.0,5.0,-0.0161,0.0458257569496
1,50 splits,0.7161,100.0,300.0,0.0,5.0,0.0099,0.0121028922163
0,loo,0.7061,100.0,300.0,0.0,5.0,0.1239,0.037563279942
1,50 splits,0.7061,100.0,300.0,0.0,5.0,0.0719,0.0110598372502
0,loo,0.7027,100.0,300.0,0.0,5.0,-0.0527,0.0476969600708
1,50 splits,0.7027,100.0,300.0,0.0,5.0,-0.0577,0.0147817454991
0,loo,0.7117,100.0,300.0,0.0,5.0,-0.0917,0.048538644398
1,50 splits,0.7117,100.0,300.0,0.0,5.0,-0.0647,0.0121169303043
0,loo,0.7203,100.0,300.0,0.0,5.0,-0.0803,0.048
1,50 splits,0.7203,100.0,300.0,0.0,5.0,-0.0403,0.0105830052443
0,loo,0.7061,100.0,300.0,0.0,5.0,-0.0461,0.0473708771293
1,50 splits,0.7061,100.0,300.0,0.0,5.0,-0.0231,0.0148734663075
0,loo,0.7105,100.0,300.0,0.0,5.0,0.0995,0.0392300904919
1,50 splits,0.7105,100.0,300.0,0.0,5.0,0.0175,0.0137956514888
0,loo,0.6823,100.0,300.0,0.0,5.0,-0.0323,0.0476969600708
1,50 splits,0.6823,100.0,300.0,0.0,5.0,0.0037,0.0110489818535
0,loo,0.714,100.0,300.0,0.0,5.0,-0.004,0.0453762052182
1,50 splits,0.714,100.0,300.0,0.0,5.0,-0.027,0.0137702578044
0,loo,0.7238,100.0,300.0,0.0,5.0,-0.1638,0.049638694584
1,50 splits,0.7238,100.0,300.0,0.0,5.0,-0.1288,0.0115974135047
0,loo,0.7281,100.0,300.0,0.0,5.0,0.0219,0.0433012701892
1,50 splits,0.7281,100.0,300.0,0.0,5.0,0.0159,0.0126996062931
0,loo,0.7174,100.0,300.0,0.0,5.0,0.0426,0.0427083130081
1,50 splits,0.7174,100.0,300.0,0.0,5.0,0.0036,0.013197727077
0,loo,0.7321,100.0,300.0,0.0,5.0,-0.0321,0.0458257569496
1,50 splits,0.7321,100.0,300.0,0.0,5.0,-0.0131,0.0147573710396
0,loo,0.6774,100.0,300.0,0.0,5.0,-0.0074,0.047021271782
1,50 splits,0.6774,100.0,300.0,0.0,5.0,-0.0484,0.0115836091094
0,loo,0.6814,100.0,300.0,0.0,5.0,-0.0714,0.048774993593
1,50 splits,0.6814,100.0,300.0,0.0,5.0,-0.1044,0.0117652029307
0,loo,0.739,100.0,300.0,0.0,5.0,0.021,0.0427083130081
1,50 splits,0.739,100.0,300.0,0.0,5.0,-0.039,0.0124899959968
0,loo,0.7025,100.0,300.0,0.0,5.0,-0.0025,0.0458257569496
1,50 splits,0.7025,100.0,300.0,0.0,5.0,0.0405,0.010489041901
0,loo,0.7311,100.0,300.0,0.0,5.0,0.0489,0.0414246303544
1,50 splits,0.7311,100.0,300.0,0.0,5.0,0.0179,0.00964261375354
0,loo,0.6994,100.0,300.0,0.0,5.0,0.0306,0.0443959457608
1,50 splits,0.6994,100.0,300.0,0.0,5.0,-0.0454,0.015989996873
0,loo,0.7081,100.0,300.0,0.0,5.0,0.0619,0.042083250825
1,50 splits,0.7081,100.0,300.0,0.0,5.0,0.0689,0.0132068164218
0,loo,0.7222,100.0,300.0,0.0,5.0,-0.0422,0.0466476151588
1,50 splits,0.7222,100.0,300.0,0.0,5.0,-0.0452,0.0108820953865
0,loo,0.7062,100.0,300.0,0.0,5.0,-0.0162,0.0462493243194
1,50 splits,0.7062,100.0,300.0,0.0,5.0,-0.0482,0.0176272516292
0,loo,0.7018,100.0,300.0,0.0,5.0,0.0482,0.0433012701892
1,50 splits,0.7018,100.0,300.0,0.0,5.0,0.0382,0.0100995049384
0,loo,0.6905,100.0,300.0,0.0,5.0,0.0295,0.0448998886413
1,50 splits,0.6905,100.0,300.0,0.0,5.0,0.0165,0.0151003311222
0,loo,0.7117,100.0,300.0,0.0,5.0,-0.0417,0.047021271782
1,50 splits,0.7117,100.0,300.0,0.0,5.0,-0.0757,0.0120033328705
0,loo,0.7104,100.0,300.0,0.0,5.0,-0.0504,0.0473708771293
1,50 splits,0.7104,100.0,300.0,0.0,5.0,-0.0374,0.0110643571887
0,loo,0.6997,100.0,300.0,0.0,5.0,-0.0097,0.0462493243194
1,50 splits,0.6997,100.0,300.0,0.0,5.0,-0.0827,0.0133873074216
0,loo,0.7249,100.0,300.0,0.0,5.0,0.0651,0.0407308237088
1,50 splits,0.7249,100.0,300.0,0.0,5.0,0.0471,0.0102137162678
0,loo,0.7151,100.0,300.0,0.0,5.0,-0.0151,0.0458257569496
1,50 splits,0.7151,100.0,300.0,0.0,5.0,-0.0201,0.0119373363863
0,loo,0.7191,100.0,300.0,0.0,5.0,0.0909,0.0392300904919
1,50 splits,0.7191,100.0,300.0,0.0,5.0,0.0779,0.0165172636959
0,loo,0.7134,100.0,300.0,0.0,5.0,-0.0634,0.0476969600708
1,50 splits,0.7134,100.0,300.0,0.0,5.0,-0.0114,0.0148296999295
0,loo,0.7315,100.0,300.0,0.0,5.0,0.0885,0.0384187454246
1,50 splits,0.7315,100.0,300.0,0.0,5.0,0.0565,0.01212930336
0,loo,0.7127,100.0,300.0,0.0,5.0,-0.0527,0.0473708771293
1,50 splits,0.7127,100.0,300.0,0.0,5.0,-0.1007,0.00995590277172
0,loo,0.712,100.0,300.0,0.0,5.0,-0.042,0.047021271782
1,50 splits,0.712,100.0,300.0,0.0,5.0,-0.061,0.0105347045521
0,loo,0.7277,100.0,300.0,0.0,5.0,-0.0977,0.0482804308183
1,50 splits,0.7277,100.0,300.0,0.0,5.0,-0.0887,0.011686744628
0,loo,0.7145,100.0,300.0,0.0,5.0,0.0455,0.0427083130081
1,50 splits,0.7145,100.0,300.0,0.0,5.0,-0.0055,0.0123846679406
0,loo,0.7224,100.0,300.0,0.0,5.0,0.0276,0.0433012701892
1,50 splits,0.7224,100.0,300.0,0.0,5.0,0.0016,0.0125888839855
0,loo,0.6906,100.0,300.0,0.0,5.0,-0.0606,0.0482804308183
1,50 splits,0.6906,100.0,300.0,0.0,5.0,-0.0446,0.0118186293622
0,loo,0.7253,100.0,300.0,0.0,5.0,0.0247,0.0433012701892
1,50 splits,0.7253,100.0,300.0,0.0,5.0,-0.0223,0.0113498898673
0,loo,0.7063,100.0,300.0,0.0,5.0,0.0637,0.042083250825
1,50 splits,0.7063,100.0,300.0,0.0,5.0,0.0537,0.0127279220614
0,loo,0.7116,100.0,300.0,0.0,5.0,0.0184,0.0443959457608
1,50 splits,0.7116,100.0,300.0,0.0,5.0,0.0184,0.0128840987267
0,loo,0.7309,100.0,300.0,0.0,5.0,0.0391,0.042083250825
1,50 splits,0.7309,100.0,300.0,0.0,5.0,0.0331,0.0106808239383
0,loo,0.6957,100.0,300.0,0.0,5.0,-0.1257,0.0495075751779
1,50 splits,0.6957,100.0,300.0,0.0,5.0,-0.1267,0.0144837840359
0,loo,0.6903,100.0,300.0,0.0,5.0,-0.1203,0.0495075751779
1,50 splits,0.6903,100.0,300.0,0.0,5.0,-0.1063,0.0112641022723
0,loo,0.7067,100.0,300.0,0.0,5.0,-0.0067,0.0458257569496
1,50 splits,0.7067,100.0,300.0,0.0,5.0,-0.0227,0.0156486421136
0,loo,0.7016,100.0,300.0,0.0,5.0,0.0684,0.042083250825
1,50 splits,0.7016,100.0,300.0,0.0,5.0,0.0184,0.0145602197786
0,loo,0.7217,100.0,300.0,0.0,5.0,0.1183,0.0366606055596
1,50 splits,0.7217,100.0,300.0,0.0,5.0,0.0683,0.01256980509
0,loo,0.7142,100.0,300.0,0.0,5.0,-0.0342,0.0466476151588
1,50 splits,0.7142,100.0,300.0,0.0,5.0,-0.0162,0.0124064499354
0,loo,0.7112,100.0,300.0,0.0,5.0,-0.0112,0.0458257569496
1,50 splits,0.7112,100.0,300.0,0.0,5.0,0.0108,0.0109690473606
0,loo,0.6937,100.0,300.0,0.0,5.0,-0.0137,0.0466476151588
1,50 splits,0.6937,100.0,300.0,0.0,5.0,-0.0237,0.0122474487139
0,loo,0.712,100.0,300.0,0.0,5.0,-0.042,0.047021271782
1,50 splits,0.712,100.0,300.0,0.0,5.0,-0.035,0.0135062948287
0,loo,0.7198,100.0,300.0,0.0,5.0,0.0102,0.0443959457608
1,50 splits,0.7198,100.0,300.0,0.0,5.0,0.0182,0.0115377640815
0,loo,0.6807,100.0,300.0,0.0,5.0,0.0393,0.0448998886413
1,50 splits,0.6807,100.0,300.0,0.0,5.0,0.0243,0.0105118980208
0,loo,0.7177,100.0,300.0,0.0,5.0,0.0223,0.0438634243989
1,50 splits,0.7177,100.0,300.0,0.0,5.0,-0.0107,0.0125706006221
0,loo,0.6949,100.0,300.0,0.0,5.0,0.0251,0.0448998886413
1,50 splits,0.6949,100.0,300.0,0.0,5.0,0.0071,0.0151631131368
0,loo,0.7169,100.0,300.0,0.0,5.0,0.1231,0.0366606055596
1,50 splits,0.7169,100.0,300.0,0.0,5.0,0.0691,0.0115792918609
0,loo,0.6935,100.0,300.0,0.0,5.0,-0.0435,0.0476969600708
1,50 splits,0.6935,100.0,300.0,0.0,5.0,-0.0055,0.0113630981691
0,loo,0.7301,100.0,300.0,0.0,5.0,0.0599,0.0407308237088
1,50 splits,0.7301,100.0,300.0,0.0,5.0,0.0159,0.0140598719767
0,loo,0.6734,100.0,300.0,0.0,5.0,0.0366,0.0453762052182
1,50 splits,0.6734,100.0,300.0,0.0,5.0,-0.0164,0.0125706006221
0,loo,0.6903,100.0,300.0,0.0,5.0,-0.0403,0.0476969600708
1,50 splits,0.6903,100.0,300.0,0.0,5.0,-0.0883,0.0161839426593
0,loo,0.6992,100.0,300.0,0.0,5.0,0.0908,0.0407308237088
1,50 splits,0.6992,100.0,300.0,0.0,5.0,0.0978,0.00829578206078
0,loo,0.7164,100.0,300.0,0.0,5.0,-0.0164,0.0458257569496
1,50 splits,0.7164,100.0,300.0,0.0,5.0,-0.0164,0.0127279220614
0,loo,0.7261,100.0,300.0,0.0,5.0,-0.0261,0.0458257569496
1,50 splits,0.7261,100.0,300.0,0.0,5.0,-0.0281,0.0109507990576
0,loo,0.7025,100.0,300.0,0.0,5.0,-0.0925,0.048774993593
1,50 splits,0.7025,100.0,300.0,0.0,5.0,-0.0975,0.0145086181285
0,loo,0.7174,100.0,300.0,0.0,5.0,0.0126,0.0443959457608
1,50 splits,0.7174,100.0,300.0,0.0,5.0,0.0146,0.0129429517499
0,loo,0.6982,100.0,300.0,0.0,5.0,0.0618,0.0427083130081
1,50 splits,0.6982,100.0,300.0,0.0,5.0,0.0408,0.0155106415083
0,loo,0.728,100.0,300.0,0.0,5.0,-0.108,0.048538644398
1,50 splits,0.728,100.0,300.0,0.0,5.0,-0.135,0.0128070293199
0,loo,0.7359,100.0,300.0,0.0,5.0,-0.0459,0.0462493243194
1,50 splits,0.7359,100.0,300.0,0.0,5.0,-0.0149,0.0156262599492
0,loo,0.7247,100.0,300.0,0.0,5.0,0.0753,0.04
1,50 splits,0.7247,100.0,300.0,0.0,5.0,0.0673,0.0102332790444
0,loo,0.734,100.0,300.0,0.0,5.0,0.016,0.0433012701892
1,50 splits,0.734,100.0,300.0,0.0,5.0,-0.004,0.0103923048454
0,loo,0.669,100.0,300.0,0.0,5.0,-0.019,0.0476969600708
1,50 splits,0.669,100.0,300.0,0.0,5.0,-0.027,0.0130659863768
0,loo,0.6974,100.0,300.0,0.0,5.0,0.0526,0.0433012701892
